almond,black,blue,brown,copper,coral,aquamarine,gold,gray,green,magenta,maroon,orange,purple,red,silver,violet,yellow,beige,aqua,cyan,navy,lime,azure,chocolate,indigo,oceanblue,plum,seagreen,turquoise,solver
1874.279123,0.03844,0.2571428571,1,12653,0.064,49,0.2522,3578,0.050852,0.823176734,6.41,1,12.653,0.005,0.0496,49.62,17.65,24811,0.05,949,12.653,0.00194,24811,6.41,0.461538462,25.22,9.92,0.954,0.266769231,robin
2185.855223,0.265540166,0.4725050916,1,6984,0.7053,34,0.0869,533,1.439445983,0.733054859,11.89,0.9926102686,36.7579,0.012590328,0.2655,50.45,42.68,4793,0.27,138,36.75789474,0.01898,4793,11.89,10.79622132,8.69,8.52,0.6210526316,0.0869225,parrot
2217.368649,0.043805,0.094,0.05,60197,0.081,10,0.902,20257,0.0502415,0.956173087,2.27,1,601.97,0.033763354,0.0438,1752.2,901.97,87610,0.6,1911,601.97,0.04301,87610,+AC0-1.54,0.038461538,90.2,5.84,0.9385,0.90197,robin
2890.951581,0.084475425,0.4786494538,1,9044,0.3152,24,0.0636468633,1525,1.228733459,0.91506296,7.19,1,49.1522,0.025994475,0.0845,15.54,64.09,1430,0.08,167,49.15217391,0.00394,1430,7.19,4.562315758,6.36,1.04,0.875,0.063646863,robin
2904.868094,0.37341396,1,1,25095,0.5931,254,0.209,20,0.680142978,0.625969846,43.13,0.7666461823,41.3427,0.107761194,0.3734,226.66,54.33,68792,0.37,379,41.34266886,0.10828,68792,43.13,0.482278259,20.9,17.45,0.607907743,0.208959574,robin
2920.083972,0.348911086,1.0038461538,1,24245,0.7893,245,0.2048,19,0.652889789,0.650504473,39.98,0.998178654,40.5435,0.04,0.3489,208.65,53.45,62386,0.35,388,40.54347826,0.10184,62386,39.98,0.500002233,20.48,16.17,0.5702341137,0.204788631,robin
3130.760184,0.410900895,0.651,1,10797,0.7397,38,0.0773,3,1.060446691,0.587394122,9.92,1,44.6157,0.01326087,0.4109,99.44,77.3,12032,0.41,141,44.61570248,0.04851,12032,9.92,1.20570472,7.73,3.04,0.4214876033,0.077297521,robin
3187.907935,0.145021875,0.253191489,1,24859,0.054,575,0.2472,6418,0.043996444,0.983738534,8.16,1,16.5727,0.036585366,0.0431,64.63,23.24,48470,0.15,1434,16.57266667,0.001,48470,8.16,0.153846154,24.72,9.69,0.958,0.250948276,robin
3704.850222,0.025671562,0.3529411765,1,6219,0.0336,546,0.2532,2257,0.024264166,0.954309843,3.11,1,6.14526,0.05,0.024,24.34,8.61,12314,0.02,986,6.145256917,0.00402,12314,3.11,0.915059537,25.32,9.88,1,0.260469369,robin
3885.836521,0.18000323,0.4788235294,1,10541,0.5556,36,0.0672,1240,0.655950441,0.81930445,5.75,0.99606123,40.387,0.015617871,0.18,46.98,57.09,6131,0.18,213,40.38697318,0.00247,6131,5.75,2.027920408,6.72,2.81,0.9272030651,0.067167005,robin
3965.331672,0.049622,0.8,0.6666666667,836,0.32,402,0.3603,73,0.192,0.854796621,3.46,1,8.36,0.083333333,0.1756,39.52,10.81,1976,0.18,122,8.36,0.05645,1976,2.31,62.79434851,36.03,16.13,0.7533333333,0.252185714,robin
