@relation Master

@attribute almond numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute copper numeric
@attribute coral numeric
@attribute aquamarine numeric
@attribute gold numeric
@attribute gray numeric
@attribute green numeric
@attribute magenta numeric
@attribute maroon numeric
@attribute orange numeric
@attribute purple numeric
@attribute red numeric
@attribute silver numeric
@attribute violet numeric
@attribute yellow numeric
@attribute beige numeric
@attribute aqua numeric
@attribute cyan numeric
@attribute navy numeric
@attribute lime numeric
@attribute azure numeric
@attribute chocolate {3.09,7.92,7.1,0.82,159.47,3.52,5.92,4.54,8.62,3.31,15.7,3.76,0.03,2.34,5.18,0.8,19.51,2.57,21.22,1.6,1.43,1.25,0.21,6.41,11.89,+AC0-1.54,7.19,43.13,39.98,9.92,8.16,3.11,5.75,2.31,6.38,20.1,3.85,2.61,3.27,3.26,2.35,21.85,0.95,+AC0-50.16,1.72,26.61,0.08,4.45,2.36,3.8,10.8}
@attribute indigo numeric
@attribute oceanblue numeric
@attribute plum numeric
@attribute seagreen numeric
@attribute turquoise numeric
@attribute solver {parrot,chickadee,sparrow,plover,goose,robin,hummingbird,roadrunner,falcon}

@data
1418.439716,0.09655,0.24,1,1010,0.195,57,0.141,255,0.10145,0.902965,1.43,0.872266,5.05,0.009232,0.0965,19.31,7.05,1931,0.1,179,5.05,0.02538,1931,1.43,28.846154,14.1,9.65,0.845,0.141,robin
1476.01476,0.30815,1,0.5,2210,0.51,14,0.1355,223,0.36885,0.690302,2.5,0.101565,22.1,0.071824,0.3081,123.26,27.1,6163,0.31,137,22.1,0.03689,6163,1.25,23.076923,13.55,24.65,0.725,0.1355,robin
1483.994064,0.3948,0.039,0.175,3717,0.585,2,0.1348,348,0.50635,0.603216,1.19,0.756906,106.2,0.019653,0.3948,451.2,134.77,7896,0.39,120,106.2,0.01533,7896,0.21,11.538462,13.48,15.79,0.615,0.134771,robin
1874.279123,0.03844,0.257143,1,12653,0.064,49,0.2522,3578,0.050852,0.823177,6.41,1,12.653,0.005,0.0496,49.62,17.65,24811,0.05,949,12.653,0.00194,24811,6.41,0.461538,25.22,9.92,0.954,0.266769,robin
2185.855223,0.26554,0.472505,1,6984,0.7053,34,0.0869,533,1.439446,0.733055,11.89,0.99261,36.7579,0.01259,0.2655,50.45,42.68,4793,0.27,138,36.757895,0.01898,4793,11.89,10.796221,8.69,8.52,0.621053,0.086923,parrot
2217.368649,0.043805,0.094,0.05,60197,0.081,10,0.902,20257,0.050242,0.956173,2.27,1,601.97,0.033763,0.0438,1752.2,901.97,87610,0.6,1911,601.97,0.04301,87610,+AC0-1.54,0.038462,90.2,5.84,0.9385,0.90197,robin
2890.951581,0.084475,0.478649,1,9044,0.3152,24,0.063647,1525,1.228733,0.915063,7.19,1,49.1522,0.025994,0.0845,15.54,64.09,1430,0.08,167,49.152174,0.00394,1430,7.19,4.562316,6.36,1.04,0.875,0.063647,robin
2904.868094,0.373414,1,1,25095,0.5931,254,0.209,20,0.680143,0.62597,43.13,0.766646,41.3427,0.107761,0.3734,226.66,54.33,68792,0.37,379,41.342669,0.10828,68792,43.13,0.482278,20.9,17.45,0.607908,0.20896,robin
2920.083972,0.348911,1.003846,1,24245,0.7893,245,0.2048,19,0.65289,0.650504,39.98,0.998179,40.5435,0.04,0.3489,208.65,53.45,62386,0.35,388,40.543478,0.10184,62386,39.98,0.500002,20.48,16.17,0.570234,0.204789,robin
3130.760184,0.410901,0.651,1,10797,0.7397,38,0.0773,3,1.060447,0.587394,9.92,1,44.6157,0.013261,0.4109,99.44,77.3,12032,0.41,141,44.615702,0.04851,12032,9.92,1.205705,7.73,3.04,0.421488,0.077298,robin
3187.907935,0.145022,0.253191,1,24859,0.054,575,0.2472,6418,0.043996,0.983739,8.16,1,16.5727,0.036585,0.0431,64.63,23.24,48470,0.15,1434,16.572667,0.001,48470,8.16,0.153846,24.72,9.69,0.958,0.250948,robin
3704.850222,0.025672,0.352941,1,6219,0.0336,546,0.2532,2257,0.024264,0.95431,3.11,1,6.14526,0.05,0.024,24.34,8.61,12314,0.02,986,6.145257,0.00402,12314,3.11,0.91506,25.32,9.88,1,0.260469,robin
3885.836521,0.180003,0.478824,1,10541,0.5556,36,0.0672,1240,0.65595,0.819304,5.75,0.996061,40.387,0.015618,0.18,46.98,57.09,6131,0.18,213,40.386973,0.00247,6131,5.75,2.02792,6.72,2.81,0.927203,0.067167,robin
3965.331672,0.049622,0.8,0.666667,836,0.32,402,0.3603,73,0.192,0.854797,3.46,1,8.36,0.083333,0.1756,39.52,10.81,1976,0.18,122,8.36,0.05645,1976,2.31,62.794349,36.03,16.13,0.753333,0.252186,robin
3997.347721,0.024047,0.257143,1,13663,0.0591,267,0.2521,3830,0.046715,0.961483,6.38,1,12.6159,0.074737,0.0456,49.44,17.64,26770,0.05,1032,12.615882,0.00182,26770,6.38,0.391338,25.21,9.83,0.955679,0.253168,robin
4063.740458,0.996337,0.981667,1,17587,0.9963,37,0.0672,6,2.191603,0,20.1,0.965691,64.4212,0.017151,0.9963,272,80.62,37128,1,323,64.421245,0.09902,37128,20.1,1.91203,6.72,16.8,0.003663,0.067179,robin
4100.98725,0.02361,0.26087,1,10790,0.031,503,0.2423,3490,0.023415,0.974302,3.85,1,7.95723,0.025893,0.0232,31.4,11.15,21286,0.02,1323,7.957227,0.00234,21286,3.85,0.393489,24.23,9.84,0.978614,0.258718,robin
4296.746389,0.045648,0.692308,1,2468,0.056,505,0.2668,984,0.039168,0.950328,2.61,1,4.936,0.049949,0.0384,19.22,6.94,4805,0.04,479,4.936,0.01033,4805,2.61,4.615385,26.68,9.61,1,0.252051,robin
5262.249448,0.016248,0.264706,1,6687,0.0311,658,0.2587,2416,0.023848,0.97683,3.27,1,6.30254,0.0096,0.0236,25.05,8.8,13289,0.02,1034,6.302545,0.00369,13289,3.27,0.822002,25.87,10.04,1,0.23355,robin
5595.888588,0.023153,0.352941,1,6085,0.0352,513,0.2605,2172,0.025957,0.975929,3.26,1,6.3057,0.054444,0.0257,24.77,8.86,11953,0.03,939,6.305699,0.00414,11953,3.26,0.971715,26.05,9.71,1,0.242321,robin
6067.299693,0.043084,0.266666,1,6165,0.0228,549,0.2336,2471,0.016377,0.976368,2.35,1,5.01627,0.069338,0.0162,19.97,7.01,12271,0.02,1208,5.016273,0.00403,12271,2.35,0.767661,23.36,10.03,0.983727,0.247227,robin
8410.65966,0.357257,0.997647,1,25763,0.7943,180,0.1034,6,0.485509,0.642332,21.85,0.766646,29.6126,0.071652,0.3573,310.81,43.96,135204,0.36,558,29.612644,0.09151,135204,21.85,0.212474,10.34,21.66,0.696552,0.10344,robin
